,User,Hash,Music,Likes,Comments,Shares,Length
0,y.prennnsesss,Hangi takımlısınız ?,original sound - Pary Gull Moti,40.6K,132,568,
1,jennysstrangeworld,Na? Hab ich euch umgestimmt? 😂 #fyp #foryou #reallife #momlife #baby,Blue Blood - Heinz Kiessling & Various Artists,53.2K,665,794,
2,kylethomas,getting the crocodiles ready for feeding time 😍🐊,original sound - kyle thomas ✌️,66.1K,335,59,
3,layr432,,الصوت الأصلي - LAYR 123456,7660,27,31,
4,vanessa_zinner,Wäre doch viel einfacher oder? 😂🤝🏫 #schule #ehrlich #lehrer,Monkeys Spinning Monkeys - Kevin MacLeod & Kevin The Monkey,31.9K,80,62,
5,dlshad105,"#rescueanimals , #animalhaven , #sheltersurvivor , #حمایت_از_حقوق_حیوانات , #حيوان_دوستم , #animalaid , #dogvillage_ , #rescueanimalsofinstagram , #rescueanimal , #paralyzeddog , #انسانم , #animalsanctuary , #animalrescue , #becomeapatron , #pandapawsrescue #trending #viral #trend #trendingnow #reels #explore #instagram #foryou #explorepage #trendingreels #tiktok #viralpost",心疼 - Dalel,12.6K,609,158,
6,maha_90_aw,,original sound - Maha,5975,138,44,
7,egzon_plisi,Erstes Video auf deutsch wollt ihr mehr deutsche Videos ?,Fashionable and cool Parisian accordion(892415) - ricca,40.8K,512,1329,
8,manutd,Too quick 😮‍💨🔥 #UnitedOnTikTok #MUFC #ManUtd #CristianoRonaldo #Ronaldo,original sound - Manchester United,4M,11.5K,11.4K,
9,koolkidnelly,WHO IS DIS GUY??? TAG HIM IN THE COMMENTS!! 😤😤,Armadilha - Guélcio Smith,389.4K,825,816,
10,julian.foundersleague,Echt schockierend - Danke an @omr für die Aufklärung 🤝 #shein #marketinghacks2022,original sound - FOUNDERS LEAGUE,40.8K,560,1474,
11,tonyenigma1mistertablet,#grandepunto #tiktok #perteeee #vitale,suono originale - tony enigma,31.9K,73,280,
12,how2shirli,VeRtRau miR 📉💩 #gntm #redakteure #bts #gntm2022 #gntmrealtalk #gntm22 #gntm2021 #gntmmemes #sketch #witzig #satire #555,Chai Tea with Heidi - WeddingCake & Snoop Dogg & Heidi Klum,129.5K,360,268,
