,User,Hash,Music,Likes,Comments,Shares,Length
0,vivo_philippines,No lag. No overheating. Get your T1 Series smartphones! Now available in out Tiktok Shop. 🛒🛍 #vivoT1Series #GetSetTurbo,Jj-surf Rumble 4-JP - Cliff Notes,11,2,2,
1,hiep659us18,,nhạc nền - hiep659us18,507.5K,1246,1954,
2,majimero10m,,オリジナル楽曲 - Majimero,1.5M,18.5K,4096,
3,nusra668,#fyp #lucu,布谷鸟 - 安子与九妹乐队,271.7K,639,935,
4,saito09,,オリジナル楽曲 - Saito さいとう,47.6K,454,57,
5,vanessa_zinner,Bitte bleibt respektvoll in den Kommentaren! 😇🕌 #ägypten #islam #moschee,My Love. - Inez,120.9K,1759,318,
6,_beesweet_,#satisfying #honey #honeycomb #bee #bees #eat #satisfyingvideo,Originalton - BeeSweet,4.9M,24.2K,36.6K,
7,matsudake,😎🍫💦 #respect #challenge #再現 #平和な日常,オリジナル楽曲 - M2DK/マツダ家の日常,683.9K,5345,1745,
8,maha_90_aw,,original sound - Maha,11.7K,401,162,
9,maha_90_aw,,original sound - Maha,59.7K,2498,4117,
10,fitness.samka,They are shocked by my forms😹 IG: FITNESSTONYA1 #fitnesssamka #fitnesstonya #prank #reaction,Juniel Atis Boombastic Remix - 𝓙𝓾𝓷𝓲𝓮𝓵 🇵🇭,1.3M,2414,1460,
11,arkierkie,BEST CLASS😎 #thaidrama #badgenius #fyp,น้ำแดงน้ำส้ม - JV.JARVIS,9.8M,37K,50K,
12,ramazanbayram_,Düğünde Annem:😂 Durum tanıdık geliyor mu? Yorumlarınızı bekliyorum!👇🏼 #keşfet #fyp #viral,origineel geluid - Ramazan Bayram,33.4K,319,595,
13,inainusa,😂😂😂,оригинальный звук - 𝓕𝓔𝓝𝓘𝓧,15.2M,168.2K,344K,
14,king.queen.akiba,なんか恥ずかしかった😵‍💫❤️‍🔥 #秋葉原グルメ #秋葉原 #ダーツ,アーニャピーナッツが好き - 僕の鍵🗝,49.7K,610,1076,
15,ward_reinalyn,Tutuka talaga to langya! Hahahaha @stephanyfaith #wardreinalyn #thehouseofcollab #thocseason2,original sound - braeee,80.4K,708,354,
16,sara_mirzahankizi,,оригинальный звук - paradise,10.9K,39,24,
17,shd.208,#fypシ #lebanon🇱🇧 #explore هتعمل ايه مش هنخلص بقي 🤣🤣🤣🤣🤣,original sound - Shd.208,74.9K,6997,5002,
18,ineedhotdog,#dog,Jiggle Jiggle - Duke & Jones & Louis Theroux,1.4M,12.3K,28.5K,
19,faraorganic,Tanam cili padi yang mahal & mendapat permintaan🌶 #faraorganic #fypmalaysia,original sound - Fara Organic,3292,93,35,
20,min_wedding,Haha... cầy Hun đi chích ngừa mà nó thế này đây,nhạc nền - MinD,2120,136,21,
21,vzelivx,Please follow 👉 @x0xct #cartoonbox #follow #toothfairy #dentist #fyp,Se Acabo (feat. Method Man) (Remix) - The Beatnuts,398.1K,1076,1211,
22,maha_90_aw,,original sound - Maha,23.8K,635,271,
23,shd.208,#explore #fypシ غلطتي انا والله 👁️‍🗨️🖐️كفاية عين,original sound - Diego gym,24.8K,240,349,
24,hiep659us312,,မူရင်းအသံ - hiep659us312,600.8K,16.1K,6243,
25,emma._fittinghoff,primary school vibes are unmatched,squeak squeak - userlooserpooserkooserdooser,9762,69,123,
26,kai.trainspotting,Wie kann es nur so passieren... Am gleichen Tag... #fyp #foryou #foryoupage #b100s❤️😭 #dinospotting🦖 #ice #dosto #zugunglückeschede #zugunglückpartenkirchen #3 #juni #2022 #1998 @spotter_igor @nick.tramspotter @duc_busspotting @zugfotograf.berlin @zugwelt_besen @zug_bus.welt_bonn2 @zuegeinberlinbrandenburg @trainspotter_timo,Originalton - Kai,93.4K,2235,8592,
27,shakiraalkaff,stole my dads’ slippers for this hahahah,Somebody That I Used to Know (Remix) - ♬,542,17,23,
28,vitaminsea293,"Một chút nhẹ nhàng, bỏ bớt áp lực nhé. Nào, đến đây mình ôm các bạn nha. 🫂 #vitaminsea",nhạc nền - Vitamin,6.3M,92.4K,144.8K,
