,User,Hash,Music,Likes,Comments,Shares,Length
0,aspienurse,#restock #refill #toiletpaper #fyp,"My Money Don't Jiggle Jiggle, It Folds - MADAX",40.3K,0,554,
1,i_l0ve_animalss,#animals #seal #fyp,suono originale - Animals_lover,942.6K,4686,1885,
2,schmeckt_wie_honig_2,,Nti Sbabi - Remix Abo El Badr - Kader Japonais,126.9K,1653,1727,
3,luigituretti,Rispondi a @greenarmm0 Niente un disastro 😂😂 @ufozero2,suono originale - LUIGI TURETTI,286.8K,811,2319,
4,whatsapp_fails_9,#krass #funnyvideos #sprachlos #reaction #lustig #viral #fyp #luca,Originalton - WhatsApp_fails,153.7K,588,258,
5,janni1909,#feiertag #verpeilt #netto #rewe #lacher,Originalton - Maja-ne,12.6K,797,1352,
6,futbotv,Who would win the Ps5 🥳 #soccer #football #ps5 #futbotv #chellenge 🎥 nozzarai,Originalton - FutboTV,28.5K,45,20,
7,lucii_03022,¿Qué PREMIO querríais vosotr@s? 🥬🍐💸💰⌚️📱🏟🏆⚽️ os leemos!,Summer day - TimTaj,72.4K,335,158,
8,thattyferreira,waffle tutorial #tutorial #food,som original - Thatty Ferreira,3.6M,21K,4203,
9,mophongdieutrirang,Phục hình lại chiếc răng với phương pháp hàn răng inlay-onlay. Bạn thấy sao? #hanrang #nhakhoa #xuhuong #thugian #relax #chamsocrangmieng #lamdep #learnontiktok #foryou #daurang,"Em Là Hoàng Hôn (DN Team Remix) - Vang, CLOUD 5",375.8K,3791,6097,
10,raychlepeach,somedays are harder than most #australia #wildliferescue #batrescue #australianwildlife #rescue #rehab #flyingfox #care #love #foryou #follow #following #viral #ecology #biodiversity #help #sad #heartbroken #rainbowbridge #wildliferehab #4u,"Love Is Gone (feat. Dylan Matthew) (Acoustic) - SLANDER, Dylan Matthew",4.5M,48.8K,39.6K,
11,funnyvip16390,#😂 #funnyvip16390 #funny #xh,nhạc nền - Funnyvip390,754.4K,13.9K,38.3K,
12,jessii_jay95,kann nicht mehr 😂😂😂😂 #tiktok #fypシ #fy #viral #goviral #xyzbca #tiktokgermany #lol #funny #fürdich,Originalton - JessiiCa_1995,46.4K,732,7083,
13,ichbinlorenaa,Geld Torte #torte #geld #tortemitgeld #rausziehen #harrypotter #schokolade #geburtstagstorte #fyp #viral #fypシ @berfin5838,Harry Potter - The Intermezzo Orchestra,664.2K,2873,8441,
14,zac_nour,Zac Shirt! #zacnour #shirt,Originalton - Zac Nour,9365,39,11,
15,lindaostrowski,Ich finde das so ekelig das ab zu knibbeln🤢,Originalton - lindaostrowski,78.5K,1365,1297,
16,tourhverdag,How to eat a schlong tutorial #vibes #spitorswollow #fypシ,original sound - SKATERZ,5.3M,167K,258.4K,
17,timetreats,Good soup 🍜😅 #noodles #soup #timelapse #timetreats,About Damn Time - Lizzo,2.3M,17.4K,9223,
18,jackofthedust,What should I call this piece??Here’s a look at my First Full face portrait! I started working on this over at @thinkinghandstudios for the first few days to learn more about sculpting using a structured anatomical approach. My subject for this course was Salvador Dali because to me he looks like the human depiction of the devil #art #sculpture,Heads Will Roll - Yeah Yeah Yeahs,2.5M,4761,5899,
19,eurosportde,Ob er das Smartphone wiedersieht? 😅🙈 #Tennis #Fail #foryou,original sound - maralovepets,140K,388,799,
20,beauty_beauty17,This cake is for your friend who smokes#creativecake #cakemaking #cake #foryou #delicacy,Pump It - The Black Eyed Peas,7.7M,96.6K,137.4K,
21,unnamed1527,,original sound - 𝙀𝙋𝙊𝙔||𝙋𝙍𝙀𝙎𝙀𝙏🎟️ - ꂅᎵԾᎩ^°^,5.2M,5497,14.3K,
22,lapseclips,Lychee time-lapse #timelapse #lapseclips #lychee #viral #rotting,Paris - Else,1.4M,4497,2426,
23,dritanalsela,Cappuccino prank 🤣,Originalton - Dritan Alsela,153.3K,654,414,
24,lovetv729,#movie #movieclips #film,她的微笑(original Mix) - 阳山伟伟,488.8K,2166,436,
