,User,Hash,Music,Likes,Comments,Shares,Length
0,loredanag30,#fyp #ladybarber,مسيطره - Lamis Kan,128.9K,431,626,
1,karina2you,Magst du gerne schwimmen?#probierenmitkarina #maskiergang,Originalton - Karina2you,21.8K,450,195,
2,beauty_benzz,Mein neues YT Video ist jetzt online ! ♥️,Originalton - 𝓘𝓼𝓪𝓫𝓮𝓵𝓵 💜,121.4K,2766,389,
3,sono_giulia54,Imbucarsi a un matrimonio parte 5 #matrimonio #invitati #sipuofare? #perte,suono originale - Ciao,16.4K,28,14,
4,han91919,,Gangnam Style (강남스타일) - Psy,26.6K,264,100,
5,kekkoattanasio,Lei si imbarazza tantissimo 😂😍,suono originale - Francesco Attanasio,450.2K,1371,8785,
6,cznburak,Czn farkıyla Kardan Adam sever misiniz?❤️⛄️🙈 #cznburak #tiktok,Not Afraid - DJ Emirhan,132K,1265,486,
7,sabri_ayoub,#sabriayoub #foryou #fyp,Heat Waves Slowed - sadvibes🥀,118.8K,363,129,
8,loredanag30,#fyp #ladybarber #loredanag30,Ya Lili Ya Lila Angklung Asyik - DJ Viral,301.2K,1332,2682,
9,estefaniaelisa,@maul.du_kek antworten PERIODDDD LADYS💖💅🏾#fyp #humor #spreadlove #girls #estefaniaelisa #selflove,Originalton - Estefaniaelisa,500K,7085,2709,
10,ehrenphill_405,Wer hat von euch die Hose an 😂😈 seid ehrlich ? #viral #fyp #fy #teamphill #teamphill405 #foryou #tiktok #couples #liebe #foryourpage #ehrenfamily🧢 #fürdich,Originalton - MR.NETFLIX,18.6K,3768,3769,
11,francescostatile,#fypシ #neiperte #friends 💕,original sound - DJ Precise,422.4K,1766,1252,
12,the.sandwichmaker,Avcoado salmon sushi sandwich/ onigirazu #avocado #salmon #sushi #rice #onigirazu #sandwich,Originalton - the.sandwichmaker,104K,121,1056,
13,minidocumentales0,"Murió, 😔😔😔#anaconda #documental #tiktok #Amazonas",sonido original - Minidocumentales😍,2M,6905,11.5K,
14,loredanag30,#fyp #ladybarber #viral,original sound - Georgiana Loredana G,113.9K,1173,2096,
